hometown,race,Hispanic,sexual_orientation,gender,trans,first_gen,disables,household_income,athlete,rotc,secondary_school,classes_ap,classes_ib,classes_honors,classes_dual,extracurriculars,ai,gap_year,admissions,other_univ,sat_binary,sat_score,act_binary,act_score,admissions_assistance,legacy,legacy_binary,three_reasons,activities,college_accepted,college_switch,pre_professional,commons_house,commons_house_wish,financial_aid,merit_scholar,loans,greek_life,political_ideology,divest,abolish_gl,administration_politics,affirmative_action,legacy_opinion,abortion,gender_affirming_care,gun_control,vote,sex,romantic_relationships,alcohol,weed,drugs,fake_id
"Washington, D.C.",Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$1,000,000 or more",No,No,Private,My school did not offer,My school did not offer,8,My school did not offer,"Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Internship (unpaid), Work/Internship (Paid)",Yes,No,EDII,,Yes,1530,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, School size, Campus","Campus tour, Commodore Launch",College of Arts of Science,No,No,Gillette,Stambaugh,No,No,I don't know,"Yes, I plan to participate in Panhellenic recruitment",5,4,1,4,1,5,6,5,7,I am registered to vote but do not vote,No,0,Twice a week,Never,None,"Delaware, Pennsylvania, South Carolina"
Indiana,White/Caucasian,No,Heterosexual,Female,No,No,No,"$1,000,000 or more",No,No,Private,8,My school did not offer,4,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service",Yes,No,EDI,"IU, Purdue, Butler, Depauw, Fordham",No,,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Brand name/rankings",Campus tour,Peabody College of Education and Human Development,No,No,Murray,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",6,2,1,1,1,2,1,1,3,"Yes, in my home state/country",Yes,1,Twice a week,Once a month,None,"N/A (I have never owned a fake ID), Michigan"
Tennessee,White/Caucasian,No,Heterosexual,Female,No,No,No,"$1,000,000 or more",No,No,Public,My school did not offer,My school did not offer,2,My school did not offer,"Athletics, Community Service, Internship (unpaid)",No,No,Waitlist,,No,,Yes,34,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Academics, School size, Brand name/rankings",Campus tour,College of Arts of Science,"Yes, Peabody",No,West,West,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,6,1,3,4,6,7,7,7,"Yes, in my home state/country",,1,,,,
New Jersey,White/Caucasian,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,8,My school did not offer,10+,My school did not offer,"Athletics, Community Service, Work/Internship (Paid)",Yes,No,Regular Decision,"UVA, Case Western, Purdue",No,,Yes,35,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Post-grad opportunities",Campus tour,School of Engineering,No,No,North,Stambaugh,"Yes, less than half the cost of attendance",No,$0 ,"Yes, I plan to participate in IFC recruitment",2,5,2,1,6,2,7,7,7,"Yes, in my home state/country",Yes,2,Three times a week,Never,None,Connecticut
Georgia,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$150,000 - $199,999",No,No,Public,1,7,0,0,"Dance, Music, Religious group, Theater, Work/Internship (Paid)",Yes,No,EDI,,No,,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Campus","Campus tour, 'Dore For A Day, Commodore Launch",Peabody College of Education and Human Development,No,No,Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,Not sure,2,6,4,4,5,2,7,7,7,"Yes, in my home state/country",No,1,Once a month,Never,None,N/A (I have never owned a fake ID)
North Carolina,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$500,000 - $749,999",No,No,Private,My school did not offer,My school did not offer,3,My school did not offer,"Athletics, Community Service, Cultural and Affinity Clubs, Religious group, Student Government",No,No,EDI,,No,,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Campus",Campus tour,College of Arts of Science,No,No,Murray,Sutherland,No,No,I don't know,"Yes, I plan to participate in Panhellenic recruitment",3,6,4,6,4,3,7,6,6,"Yes, in my home state/country",No,2,Twice a week,Once a month,None,"Illinois, Texas"
Georgia,White/Caucasian,No,Heterosexual,Female,No,No,No,"$1,000,000 or more",No,No,Private,10+,My school did not offer,5,My school did not offer,"Athletics, Community Service, Visual Art",No,No,EDI,University of Georgia,No,,Yes,36,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Brand name/rankings","Campus tour, Commodore Launch",Peabody College of Education and Human Development,No,"Yes, as a pre-law student",Stambaugh,Stambaugh,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",3,5,1,5,3,2,7,6,7,"Yes, in my home state/country",Yes,1,,,,
California,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$50,000 - $74,999",No,No,Public,10+,1,10+,2,"Athletics, Internship (unpaid), Journalism",Yes,No,EDI,"UCR, UCD, UCI, UCSB",Yes,1540,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Cost, Academics, Brand name/rankings",Campus tour,College of Arts of Science,No,No,Murray,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,Not sure,6,3,2,4,1,1,5,1,5,"I am eligible to vote, but am not registered",No,1,Once a semester,Never,None,N/A (I have never owned a fake ID)
Massachusetts,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$1,000,000 or more",No,No,Private,My school did not offer,My school did not offer,2,My school did not offer,"Athletics, Cultural and Affinity Clubs, Music",Yes,No,EDI,,Yes,1530,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Academics, School size, Brand name/rankings","Campus tour, Anchor Day, Anchor Day (admitted students day)",Blair School of Music,No,No,Hank Ingram,Hank Ingram,No,No,I don't know,Not sure,4,6,3,4,4,3,5,3,6,I am not eligible to vote,Yes,2,Once a week,Never,None,N/A (I have never owned a fake ID)
South Korea,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$500,000 - $749,999",No,No,Private,7,7,2,My school did not offer,"Athletics, Community Service, Internship (unpaid), Model UN, Research, Speech and Debate, Work/Internship (Paid)",No,No,EDII,"UNC, Tulane (EAs only)",Yes,1560,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Brand name/rankings",None,College of Arts of Science,No,"Yes, as a pre-med student",Stambaugh,Stambaugh,No,No,$0 ,Not sure,3,5,2,4,3,2,7,4,5,"Yes, in my home state/country",Yes,2,Once a month,Never,None,
California,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Male,No,No,No,"$300,000 - $499,999",No,No,Public,2,0,2,0,"Academic Clubs/Competition, Athletics, Community Service, Model UN, Work/Internship (Paid)",Yes,No,EDI,,No,,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Post-grad opportunities",Campus tour,Peabody College of Education and Human Development,No,No,Hank Ingram,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",4,7,1,1,3,3,5,2,5,"I am eligible to vote, but am not registered",,3,,,,California
California,White/Caucasian,No,Heterosexual,Female,No,No,No,"$150,000 - $199,999",No,No,Private,8,My school did not offer,5,My school did not offer,"Athletics, Work/Internship (Paid)",Yes,No,Waitlist,"University of Wisconsin Madison, University of California Santa Barbara, Boston College, New York University, University of Notre Dame, Pennsylvania State University, George Washington University ",No,,Yes,35,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Academics, Post-grad opportunities, Campus",Campus tour,Peabody College of Education and Human Development,No,No,Stambaugh,Stambaugh,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,4,3,5,2,2,7,6,7,"Yes, in my home state/country",No,0,Twice a week,Never,None,
New York,White/Caucasian,No,Heterosexual,Male,No,No,No,"$500,000 - $749,999",No,No,Private,My school did not offer,My school did not offer,8,My school did not offer,"Athletics, Journalism, Music, Speech and Debate",No,No,EDII,Yale University,No,,Yes,34,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Faculty","Campus tour, Commodore Launch",College of Arts of Science,No,"Yes, as a pre-law student",Hank Ingram,Hank Ingram,No,No,$0 ,Not sure,3,6,2,2,4,2,7,4,7,"Yes, in my home state/country",Yes,0,Twice a week,Once a month,None,Connecticut
New York,White/Caucasian,No,Questioning/unsure,Female,No,No,No,"$300,000 - $499,999",No,No,Public,2,My school did not offer,5,1,"Advocacy, Community Service, Internship (unpaid), Music, Theater",Yes,No,EDI,"Temple, Wisconsin-Madison, SUNY Purchase, Indiana-Bloomington",No,,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Brand name/rankings","Campus tour, 'Dore For A Day, Anchor Day, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",North,Gillette,No,"Yes, full tuition","$75,000 - $99,999",Not sure,1,7,4,3,6,1,7,7,7,"Yes, in Tennessee",Yes,4,Three times a week,Three times a week,"Cocaine, Adderall","New York, Pennsylvania"
Texas,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$300,000 - $499,999",No,No,Public,10+,My school did not offer,3,0,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Internship (unpaid), Music, Work/Internship (Paid)",Yes,No,EDI,,Yes,1530,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Campus",None,College of Arts of Science,No,"Yes, as a pre-med student",Murray,Murray,No,No,$0 ,No,5,3,2,3,3,3,7,1,2,"Yes, in my home state/country",No,2,Once a month,Never,None,N/A (I have never owned a fake ID)
Maryland,White/Caucasian,No,Heterosexual,Male,No,No,No,"$1,000,000 or more",No,No,Public,10+,My school did not offer,10+,My school did not offer,"Athletics, Community Service, Internship (unpaid), Music, Student Government, Work/Internship (Paid)",Yes,No,EDI,,No,,Yes,36,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Brand name/rankings","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-med student",Hank Ingram,Stambaugh,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",2,4,1,3,5,3,7,6,7,"Yes, in my home state/country",No,0,,,,
South Carolina,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,10+,My school did not offer,7,0,"Academic Clubs/Competition, Advocacy, Community Service, Student Government, Work/Internship (Paid)",No,No,Regular Decision,"UNC Chapel Hill, University of South Carolina, Furman University",No,,Yes,35,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Cost, Location, Academics","Campus tour, Anchor Day, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-med student",Murray,Gillette,"Yes, more than half the cost of attendance",No,$0 ,Not sure,2,4,2,5,6,4,6,4,7,"Yes, in my home state/country",No,0,Once a week,Never,None,N/A (I have never owned a fake ID)
California,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$500,000 - $749,999",No,No,Private,8,My school did not offer,8,3,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Internship (unpaid)",Yes,No,Regular Decision,,Yes,1540,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Cost, Post-grad opportunities, Brand name/rankings",Anchor Day (admitted students day),College of Arts of Science,No,No,East,East,No,"Yes, full tuition",$0 ,"Yes, I plan to participate in IFC recruitment",2,5,4,6,4,6,7,2,7,"Yes, in my home state/country",No,0,Three times a week,Once a month,None,N/A (I have never owned a fake ID)
Texas,White/Caucasian,No,Heterosexual,Female,No,No,No,"$1,000,000 or more",No,No,Private,6,My school did not offer,4,My school did not offer,"Athletics, Community Service, Internship (unpaid), Visual Art, Work/Internship (Paid)",No,No,EDI,"University of Georgia, Texas Christian University",No,,Yes,35,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Academics, School size, Campus",Campus tour,Peabody College of Education and Human Development,No,"Yes, as a pre-med student",Sutherland,Sutherland,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",5,1,1,1,1,1,5,2,4,"Yes, in my home state/country",No,1,Once a week,Once a semester,None,Texas
Wisconsin,Asian/Pacific Islander,No,Bisexual/pansexual,Female,No,Yes,No,"$200,000 - $299,999",No,No,Public,9,My school did not offer,My school did not offer,0,"Athletics, Community Service, Journalism",,No,EDI,,No,,Yes,34,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Academics, Brand name/rankings, Campus",Campus tour,College of Arts of Science,No,"Yes, as a pre-med student",Memorial,Hank Ingram,No,No,"$40,000 - $49,999",No,3,4,3,4,4,4,7,7,7,I am registered to vote but do not vote,,1,,,,
New York,White/Caucasian,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,8,My school did not offer,10+,1,"Academic Clubs/Competition, Athletics, Internship (unpaid), Research, robotics",Yes,No,Regular Decision,"Hartford, University of Miami, University of Michigan, ",No,,Yes,35,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Location, Academics, Brand name/rankings",Campus tour,College of Arts of Science,No,"Yes, as a pre-med student",Gillette,East,No,No,$0 ,Not sure,5,1,1,5,1,6,7,4,3,"Yes, in Tennessee",No,2,Once a month,Four or more times a week,None,New Jersey
China,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$150,000 - $199,999",No,No,Public,7,My school did not offer,2,My school did not offer,"Advocacy, Community Service, Dance, Journalism, Research, Speech and Debate, Student Government",No,No,EDI,,No,,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Academics, School size, Campus",None,College of Arts of Science,No,No,East,East,No,No,"$20,000 - $29,999",Not sure,4,4,4,4,3,3,4,5,5,I am not eligible to vote,No,3,Once a semester,Never,None,N/A (I have never owned a fake ID)
New York,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$1,000,000 or more",Yes,No,Private,My school did not offer,My school did not offer,10+,2,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Cultural and Affinity Clubs, Dance, Internship (unpaid), Theater, Work/Internship (Paid)",Yes,No,EDI,"Southern Methodist University, Ohio State University ",No,,No,,"Standardized testing (ACT/SAT) tutoring, College counseling",No,No,"Academics, Brand name/rankings, Campus","Campus tour, 'Dore For A Day",College of Arts of Science,No,No,Crawford,Crawford,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",4,4,1,2,2,3,3,4,4,"Yes, in my home state/country",Yes,1,Once a week,Never,None,"Connecticut, Delaware"
Illinois,White/Caucasian,No,Heterosexual,Female,No,No,No,"$750,000 - $999,999",No,No,Private,0,My school did not offer,2,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service",Yes,No,Waitlist,"Miami of Ohio, Tulane, UC Boulder, U of Denver, College of Charleston, Butler U, Indiana U",No,,No,,"Standardized testing (ACT/SAT) tutoring, College counseling, Other",No,No,"Academics, Post-grad opportunities, Brand name/rankings","Campus tour, Commodore Launch",College of Arts of Science,"Yes, Peabody",No,Sutherland,Sutherland,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,4,1,2,3,5,7,3,6,"I am eligible to vote, but am not registered",Yes,1,Once a week,Never,None,Illinois
Florida,"White/Caucasian, Middle Eastern/North African",No,Heterosexual,Male,No,Yes,No,"$500,000 - $749,999",No,No,Private,3,My school did not offer,9,My school did not offer,"Advocacy, Athletics, Community Service, Cultural and Affinity Clubs, Journalism, Religious group, Work/Internship (Paid)",No,No,EDI,"FSU, Indiana University, Pittsburgh",No,,Yes,34,"Standardized testing (ACT/SAT) tutoring, College counseling, Other",No,No,"Location, Academics, Brand name/rankings",Campus tour,Peabody College of Education and Human Development,No,No,Sutherland,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",3,4,1,3,1,2,7,3,7,"Yes, in my home state/country",No,3,Four or more times a week,Once a week,,"Georgia, Illinois"
China,Asian/Pacific Islander,No,Questioning/unsure,Male,No,No,No,"$200,000 - $299,999",No,No,Public,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Community Service, Internship (unpaid), Journalism, Research, Speech and Debate, Theater",No,No,Regular Decision,,No,,Yes,36,"Standardized testing (ACT/SAT) tutoring, College counseling, Other",No,No,"Academics, School size, Campus",None,Peabody College of Education and Human Development,No,No,Stambaugh,Stambaugh,No,"Yes, partial tuition",$0 ,Not sure,4,3,3,1,4,2,7,7,6,I am not eligible to vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
Texas,White/Caucasian,No,Heterosexual,Male,No,No,No,"$1,000,000 or more",No,No,Private,1,My school did not offer,6,1,"Athletics, Community Service, Internship (unpaid), Work/Internship (Paid)",Yes,No,EDII,"USC, Rhodes",Yes,1500,No,,No,Yes,Yes,"Location, School size, Brand name/rankings, Campus","Campus tour, Commodore Launch",Peabody College of Education and Human Development,No,No,Sutherland,Sutherland,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",5,4,1,2,5,5,4,4,4,"I am eligible to vote, but am not registered",No,2,Once a week,Once a month,"LSD (Acid), Prescription Opioids (Oxy)",Wyoming
Tennessee,White/Caucasian,No,Heterosexual,Male,No,No,No,"$100,000 - $149,999",No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Family Responsibilities, Work/Internship (Paid)",No,No,EDII,,No,,Yes,34,No,"Yes, sibling(s)",Yes,"Academics, School size, Brand name/rankings","Campus tour, Anchor Day, Anchor Day (admitted students day)",School of Engineering,No,No,Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,Not sure,6,2,2,1,1,1,1,1,1,"Yes, in Tennessee",No,0,Never,Never,None,N/A (I have never owned a fake ID)
California,White/Caucasian,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,7,My school did not offer,7,7,"Academic Clubs/Competition, Advocacy, Community Service, Dance, Internship (unpaid), Religious group, Student Government, Work/Internship (Paid)",No,No,Regular Decision,"UCLA, UC Berkeley, UC Davis, Duke, Villanova, University of Pennsylvania, UCSD, USC, UNC Chapel Hill, Clemson, Baylor",No,,No,,No,"Yes, one parent",Yes,"Cost, School size, Post-grad opportunities",None,Peabody College of Education and Human Development,No,"Yes, as a pre-law student",Memorial,Crawford,No,"Yes, full tuition",$0 ,"Yes, I plan to participate in Panhellenic recruitment",3,5,2,1,4,4,6,6,7,"Yes, in my home state/country",No,2,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,White/Caucasian,No,Heterosexual,Male,No,No,No,"$100,000 - $149,999",No,No,Charter,8,My school did not offer,5,My school did not offer,"Athletics, Community Service, Work/Internship (Paid)",No,No,Regular Decision,"Wake Forest, UTK, Rhodes College",No,,Yes,34,No,"Yes, one parent",Yes,"Cost, Academics, Campus","Campus tour, 'Dore For A Day, Anchor Day",Peabody College of Education and Human Development,No,No,East,Hank Ingram,"Yes, more than half the cost of attendance","Yes, full tuition",$0 ,Not sure,4,4,3,4,4,2,4,5,4,"Yes, in Tennessee",No,1,Never,Never,None,N/A (I have never owned a fake ID)
Illinois,White/Caucasian,No,Heterosexual,Female,No,No,No,"$0 - $49,999",No,No,Public,10+,My school did not offer,10+,1,"Academic Clubs/Competition, Community Service, Dance, Student Government, Work/Internship (Paid)",Yes,No,EDI,,No,,No,,No,"Yes, sibling(s)",Yes,"Cost, Location, Academics",None,Peabody College of Education and Human Development,No,No,North,Hank Ingram,"Yes, full cost of attendence",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",3,5,2,5,4,3,7,5,7,"Yes, in my home state/country",,2,Twice a week,,None,Ohio
Florida,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$75,000 - $99,999",No,No,Public,9,My school did not offer,7,0,"Academic Clubs/Competition, Athletics, Community Service, Work/Internship (Paid)",No,No,EDI,"University of Florida, Florida State University",Yes,1550,No,,No,"Yes, sibling(s)",Yes,"Academics, Faculty, Brand name/rankings",None,College of Arts of Science,"Yes, Peabody","Yes, as a pre-med student",Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,"$5,000 - $9,999",No,4,4,4,2,3,1,7,5,7,I am registered to vote but do not vote,No,0,Never,Never,None,
Tennessee,White/Caucasian,No,Gay/lesbian,Female,No,No,No,"$1,000,000 or more",No,Yes,Private,2,My school did not offer,2,My school did not offer,"Academic Clubs/Competition, Athletics, Journalism, Model UN, Student Government, Work/Internship (Paid)",No,No,Waitlist,"University of Mississippi, The Citadel, University of Southern California, George Washington University, and waitlisted at The United States Naval Academy ",No,,No,,Other,"Yes, both parents",Yes,"Academics, School size, Brand name/rankings, Campus","Campus tour, Commodore Launch",Peabody College of Education and Human Development,No,No,North,Murray,No,No,$0 ,No,4,6,1,2,4,4,4,4,6,"Yes, in Tennessee",Yes,2,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,White/Caucasian,No,Heterosexual,Female,No,No,No,"$500,000 - $749,999",No,No,Private,7,My school did not offer,3,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Internship (unpaid), Research",No,No,EDII,"UNC Chapel Hill, University of Vermont, Kenyon College",No,,No,,Standardized testing (ACT/SAT) tutoring,"Yes, both parents",Yes,"Location, Academics, Post-grad opportunities","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-med student",North,Hank Ingram,No,No,I don't know,"Yes, I plan to participate in Panhellenic recruitment",3,6,4,2,5,2,7,7,7,"Yes, in Tennessee",No,0,Never,Never,,
Illinois,White/Caucasian,No,Heterosexual,Male,No,No,No,"$750,000 - $999,999",No,No,Public,5,My school did not offer,7,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Religious group, Work/Internship (Paid)",No,No,EDI,Pulled because of ED 1,No,,No,,"Standardized testing (ACT/SAT) tutoring, College counseling","Yes, both parents",Yes,"Location, Academics, School size, Faculty, Post-grad opportunities, Brand name/rankings, Campus",Campus tour,Peabody College of Education and Human Development,No,No,Sutherland,Sutherland,No,No,I don't know,"Yes, I plan to participate in IFC recruitment",5,5,1,4,4,4,6,5,4,"Yes, in my home state/country",Yes,3,Twice a week,Never,None,"Michigan, Ohio"
New York,Asian/Pacific Islander,No,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,6,My school did not offer,My school did not offer,10+,Academic Clubs/Competition,No,No,Regular Decision,There were 45 schools ,No,,No,,No,"Yes, both parents, No",Yes,Academics,Commodore Launch,College of Arts of Science,No,"Yes, as a pre-med student",West,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,No,3,3,3,5,5,5,3,3,3,"Yes, in Tennessee",No,5,Once a week,Three times a week,Heroin,New York
Colorado,White/Caucasian,No,Heterosexual,Female,No,No,No,"$500,000 - $749,999",No,No,Private,4,My school did not offer,10+,My school did not offer,"Advocacy, Athletics, Community Service, Internship (unpaid), Research, Theater",No,No,EDI,"Clemson, UGA, Santa Clara",No,,Yes,35,Standardized testing (ACT/SAT) tutoring,"Yes, both parents, Yes, extended family",Yes,"Academics, School size, Faculty","Campus tour, Anchor Day, Anchor Day (admitted students day)",College of Arts of Science,No,No,Crawford,Crawford,No,No,$0 ,No,4,6,3,1,1,2,5,1,6,"I am eligible to vote, but am not registered",Yes,1,Once a semester,Never,None,Maryland
Kentucky,White/Caucasian,No,Heterosexual,Male,No,No,No,"$300,000 - $499,999",No,No,Private,8,My school did not offer,My school did not offer,My school did not offer,"Athletics, School Store Manager",No,No,EDI,"WashU, Northwestern, UChicago, Kentucky, Indiana, Emory",No,,Yes,35,"Standardized testing (ACT/SAT) tutoring, College counseling","Yes, both parents, Yes, extended family",Yes,"Location, Academics, Campus","Campus tour, 'Dore For A Day, Commodore Launch",College of Arts of Science,No,No,Hank Ingram,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",4,4,2,2,2,6,7,4,5,"Yes, in my home state/country",No,1,Twice a week,Never,None,N/A (I have never owned a fake ID)
New Jersey,Asian/Pacific Islander,No,Gay/lesbian,Male,No,Yes,No,"$0 - $49,999",No,No,Public,9,My school did not offer,7,0,"Community Service, Cultural and Affinity Clubs, Internship (unpaid), Music, Work/Internship (Paid)",No,No,EDI,"Rutgers, Uni of Delaware",No,,Yes,34,Standardized testing (ACT/SAT) tutoring,"Yes, both parents, Yes, sibling(s)",Yes,"Cost, Location, Academics","Campus tour, Commodore Launch",College of Arts of Science,"Yes, Peabody",No,Sutherland,Sutherland,"Yes, full cost of attendence","Yes, full tuition",$0 ,No,2,6,4,4,5,5,7,7,7,I am not eligible to vote,,1,,,None,N/A (I have never owned a fake ID)
Connecticut,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$200,000 - $299,999",No,No,Public,10+,My school did not offer,5,2,"Academic Clubs/Competition, Community Service, Religious group, Student Government",No,No,EDII,"University of Georgia, University of Virginia, UNC Chapel Hill, Clemson, Elon, University of South Carolina",No,,Yes,35,No,"Yes, extended family",Yes,"Location, Academics, Brand name/rankings","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-med student",Sutherland,Stambaugh,No,"Yes, partial tuition",$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,5,1,1,2,3,7,6,7,"Yes, in my home state/country",Yes,2,Twice a week,Once a month,None,New Jersey
New Jersey,White/Caucasian,No,Heterosexual,Male,No,No,No,"$150,000 - $199,999",No,No,Public,5,3,5,4,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Internship (unpaid), Journalism, Music, Model UN, Religious group",Yes,No,Regular Decision,"Wake forest, UPenn, Bucknell, Rutgers, Dickinson univerity, URI, ",No,,No,,No,"Yes, extended family",Yes,"Academics, School size, Brand name/rankings","Campus tour, Commodore Launch",College of Arts of Science,No,"Yes, as a pre-med student",North,Hank Ingram,"Yes, less than half the cost of attendance",No,"$250,000 or more",No,3,6,4,6,5,5,7,6,7,"Yes, in my home state/country",Yes,2,Once a semester,Never,None,N/A (I have never owned a fake ID)
Ohio,White/Caucasian,No,Questioning/unsure,Female,No,No,Yes,"$100,000 - $149,999",No,No,Public,10+,My school did not offer,10+,5,"Academic Clubs/Competition, Community Service, Journalism, Music, Work/Internship (Paid)",No,No,EDI,,Yes,1470,Yes,35,No,"Yes, extended family",Yes,"Cost, Academics, School size","Anchor Day, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,No,North,North,"Yes, more than half the cost of attendance",No,I don't know,No,1,7,2,5,7,1,6,6,7,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,African American/Black,No,Heterosexual,Female,No,No,No,"$0 - $49,999",No,No,Public,8,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Music, Religious group, Research, Student Government, Theater",No,No,Regular Decision,"Loyola U, Indiana U, Depaul U, Depauw U, Tennessee Tech",No,,No,,College counseling,"Yes, extended family",Yes,"Cost, Academics, Faculty","Commodore Launch, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,No,Stambaugh,Gillette,"Yes, full cost of attendence","Yes, full tuition",$0 ,No,3,4,4,2,1,1,5,1,7,"Yes, in Tennessee",No,1,Never,Never,None,N/A (I have never owned a fake ID)
Connecticut,White/Caucasian,No,Heterosexual,Male,No,No,No,"$300,000 - $499,999",No,No,Public,10+,My school did not offer,6,3,"Athletics, Community Service, Internship (unpaid), Music, Work/Internship (Paid)",Yes,No,EDI,,No,,Yes,35,Standardized testing (ACT/SAT) tutoring,"Yes, extended family",Yes,"Location, Academics, Campus","Campus tour, Commodore Launch",College of Arts of Science,"Yes, Peabody",No,West,West,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",3,6,2,4,5,2,4,4,6,"Yes, in my home state/country",No,1,Twice a week,Once a month,,N/A (I have never owned a fake ID)
